Date,Sell,Buy Back
2020-11-01,901000,881000
2020-11-02,901000,881000
2020-11-03,899000,879000
2020-11-04,899000,879000
2020-11-05,898000,878000
2020-11-06,898000,878000
2020-11-07,902000,882000
2020-11-08,902000,882000
2020-11-09,902000,882000
2020-11-10,906000,886000
2020-11-11,862000,842000
2020-11-12,870000,850000
2020-11-13,870000,850000
2020-11-14,871000,851000
2020-11-15,871000,851000
2020-11-16,871000,851000
2020-11-17,875000,855000
2020-11-18,870000,850000
2020-11-19,870000,850000
2020-11-20,866000,846000
2020-11-21,866000,846000
2020-11-22,866000,846000
2020-11-23,866000,846000
2020-11-24,867000,847000
2020-11-25,851000,831000
2020-11-26,851000,831000
2020-11-27,839000,819000
2020-11-28,839000,819000
2020-11-29,830000,810000
2020-11-30,830000,810000
