Date,Sell,Buy Back
2020-08-01,930000,910000
2020-08-02,930000,910000
2020-08-03,930000,910000
2020-08-04,942000,922000
2020-08-05,942000,922000
2020-08-06,942000,922000
2020-08-07,963000,943000
2020-08-08,965000,945000
2020-08-09,972000,952000
2020-08-10,965000,945000
2020-08-11,965000,945000
2020-08-12,950000,930000
2020-08-13,900000,880000
2020-08-14,927000,907000
2020-08-15,927000,907000
2020-08-16,938000,918000
2020-08-17,938000,918000
2020-08-18,938000,918000
2020-08-19,958000,938000
2020-08-20,958000,938000
2020-08-21,938000,918000
2020-08-22,938000,918000
2020-08-23,938000,918000
2020-08-24,938000,918000
2020-08-25,938000,918000
2020-08-26,938000,918000
2020-08-27,938000,918000
2020-08-28,934000,914000
2020-08-29,932000,912000
2020-08-30,932000,912000
2020-08-31,932000,912000
