Date,Sell,Buy Back
2021-01-01,867000,847000
2021-01-03,867000,847000
2021-01-04,867000,847000
2021-01-05,872000,852000
2021-01-06,878000,858000
2021-01-07,878000,858000
2021-01-08,878000,858000
2021-01-09,878000,858000
2021-01-10,859000,839000
2021-01-11,859000,839000
2021-01-12,863000,843000
2021-01-13,862000,842000
2021-01-14,862000,842000
2021-01-16,859000,839000
2021-01-17,859000,839000
2021-01-18,859000,839000
2021-01-19,856000,836000
2021-01-20,856000,836000
2021-01-21,859000,839000
2021-01-22,860000,840000
2021-01-23,860000,840000
2021-01-24,856000,836000
2021-01-25,856000,836000
2021-01-26,856000,836000
2021-01-28,852000,832000
2021-01-29,850000,830000
2021-01-30,850000,830000
2021-01-31,850000,830000
