Date,Sell,Buy Back
2020-05-01,855000,835000
2020-05-02,855000,835000
2020-05-03,815000,795000
2020-05-04,815000,795000
2020-05-05,825000,805000
2020-05-06,820000,800000
2020-05-07,820000,800000
2020-05-08,820000,800000
2020-05-09,820000,800000
2020-05-10,820000,800000
2020-05-11,820000,800000
2020-05-12,822000,802000
2020-05-13,822000,802000
2020-05-14,822000,802000
2020-05-15,828000,808000
2020-05-16,835000,815000
2020-05-17,835000,815000
2020-05-18,835000,815000
2020-05-19,845000,825000
2020-05-20,845000,825000
2020-05-21,835000,815000
2020-05-22,835000,815000
2020-05-23,835000,815000
2020-05-24,835000,815000
2020-05-25,835000,815000
2020-05-26,835000,815000
2020-05-27,835000,815000
2020-05-28,835000,815000
2020-05-29,820000,800000
2020-05-30,820000,800000
2020-05-31,820000,800000
