Date,Sell,Buy Back
2020-03-31,820000,805000
2020-04-01,820000,805000
2020-04-02,820000,805000
2020-04-03,820000,805000
2020-04-04,820000,805000
2020-04-05,820000,805000
2020-04-06,820000,805000
2020-04-07,820000,805000
2020-04-08,820000,805000
2020-04-09,845000,830000
2020-04-10,845000,830000
2020-04-11,845000,830000
2020-04-12,845000,830000
2020-04-13,845000,830000
2020-04-14,845000,830000
2020-04-15,855000,835000
2020-04-16,850000,830000
2020-04-17,850000,830000
2020-04-18,850000,830000
2020-04-19,850000,830000
2020-04-20,850000,830000
2020-04-21,850000,830000
2020-04-22,850000,830000
2020-04-23,850000,830000
2020-04-24,850000,830000
2020-04-25,850000,830000
2020-04-26,855000,835000
2020-04-27,855000,835000
2020-04-28,855000,835000
2020-04-29,855000,835000
2020-04-30,855000,835000
