Date,Sell,Buy Back
2020-12-01,817000,797000
2020-12-02,823000,803000
2020-12-03,823000,803000
2020-12-04,842000,822000
2020-12-05,842000,822000
2020-12-06,842000,822000
2020-12-07,842000,822000
2020-12-09,858000,838000
2020-12-10,860000,840000
2020-12-11,846000,826000
2020-12-12,847000,827000
2020-12-13,848000,828000
2020-12-14,848000,828000
2020-12-15,848000,828000
2020-12-17,857000,837000
2020-12-18,859000,839000
2020-12-19,859000,839000
2020-12-22,867000,847000
2020-12-23,872000,852000
2020-12-24,872000,852000
2020-12-25,882000,862000
2020-12-26,882000,862000
2020-12-27,872000,852000
2020-12-28,883000,863000
2020-12-29,873000,853000
2020-12-30,868000,848000
2020-12-31,867000,847000
