Date,Sell,Buy Back
2021-03-01,815000,795000
2021-03-02,820000,800000
2021-03-03,808000,788000
2021-03-04,813000,793000
2021-03-05,807000,787000
2021-03-06,806000,786000
2021-03-07,806000,786000
2021-03-08,807000,787000
2021-03-09,807000,787000
2021-03-10,807000,787000
2021-03-11,807000,787000
2021-03-13,807000,787000
2021-03-14,807000,787000
2021-03-15,807000,787000
2021-03-17,811000,791000
2021-03-18,815000,795000
2021-03-22,815000,795000
2021-03-23,811000,791000
2021-03-24,813000,793000
2021-03-25,813000,793000
2021-03-26,815000,795000
2021-03-27,810000,790000
2021-03-28,813000,793000
2021-03-29,813000,793000
2021-03-30,811000,791000
2021-03-31,806000,786000
