Date,Sell,Buy Back
2020-06-01,820000,800000
2020-06-02,820000,800000
2020-06-03,822000,802000
2020-06-04,810000,790000
2020-06-05,810000,790000
2020-06-06,810000,790000
2020-06-07,810000,790000
2020-06-08,810000,790000
2020-06-09,778000,758000
2020-06-10,778000,758000
2020-06-11,798000,778000
2020-06-12,798000,778000
2020-06-13,803000,783000
2020-06-14,803000,783000
2020-06-15,803000,783000
2020-06-16,803000,783000
2020-06-17,798000,778000
2020-06-18,798000,778000
2020-06-19,799000,779000
2020-06-20,799000,779000
2020-06-21,808000,788000
2020-06-22,808000,788000
2020-06-23,809000,789000
2020-06-24,810000,790000
2020-06-25,814000,794000
2020-06-26,815000,795000
2020-06-27,817000,797000
2020-06-28,817000,797000
2020-06-29,817000,797000
2020-06-30,829000,809000
