Date,Sell,Buy Back
2021-02-01,850000,830000
2021-02-02,850000,830000
2021-02-03,850000,830000
2021-02-04,845000,825000
2021-02-05,840000,820000
2021-02-06,830000,810000
2021-02-07,835000,815000
2021-02-08,835000,815000
2021-02-09,835000,815000
2021-02-10,835000,815000
2021-02-11,837000,817000
2021-02-12,837000,817000
2021-02-16,832000,812000
2021-02-17,829000,809000
2021-02-19,821000,801000
2021-02-20,817000,797000
2021-02-22,820000,800000
2021-02-23,820000,800000
2021-02-24,820000,800000
2021-02-25,828000,808000
2021-02-26,822000,802000
2021-02-27,820000,800000
2021-02-28,815000,795000
