Date,Sell,Buy Back
2020-10-01,917000,897000
2020-10-02,912000,892000
2020-10-03,920000,900000
2020-10-04,916000,896000
2020-10-05,916000,896000
2020-10-06,912000,892000
2020-10-07,911000,891000
2020-10-08,911000,891000
2020-10-09,911000,891000
2020-10-10,911000,891000
2020-10-11,911000,891000
2020-10-12,911000,891000
2020-10-13,918000,898000
2020-10-14,918000,898000
2020-10-15,910000,890000
2020-10-16,908000,888000
2020-10-17,908000,888000
2020-10-18,911000,891000
2020-10-19,911000,891000
2020-10-20,911000,891000
2020-10-21,911000,891000
2020-10-22,911000,891000
2020-10-23,911000,891000
2020-10-24,911000,891000
2020-10-26,911000,891000
2020-10-27,907000,887000
2020-10-28,909000,889000
2020-10-29,909000,889000
2020-10-30,909000,889000
2020-10-31,901000,881000
