Date,Sell,Buy Back
2020-07-01,829000,809000
2020-07-02,829000,809000
2020-07-03,829000,809000
2020-07-04,829000,809000
2020-07-05,829000,809000
2020-07-06,829000,809000
2020-07-07,829000,809000
2020-07-08,838000,818000
2020-07-09,838000,818000
2020-07-10,838000,818000
2020-07-11,838000,818000
2020-07-12,838000,818000
2020-07-13,838000,818000
2020-07-14,838000,818000
2020-07-15,850000,830000
2020-07-16,850000,830000
2020-07-17,858000,838000
2020-07-18,858000,838000
2020-07-19,858000,838000
2020-07-20,858000,838000
2020-07-21,858000,838000
2020-07-22,874000,854000
2020-07-23,874000,854000
2020-07-24,874000,854000
2020-07-25,874000,854000
2020-07-26,892000,872000
2020-07-27,892000,872000
2020-07-28,892000,872000
2020-07-29,910000,890000
2020-07-30,910000,890000
2020-07-31,910000,890000
