Date,Sell,Buy Back
2020-03-31,820000,805000
2020-04-01,820000,805000
2020-04-02,820000,805000
2020-04-03,820000,805000
2020-04-04,820000,805000
2020-04-05,820000,805000
2020-04-06,820000,805000
2020-04-07,820000,805000
2020-04-08,820000,805000
2020-04-09,845000,830000
2020-04-10,845000,830000
2020-04-11,845000,830000
2020-04-12,845000,830000
2020-04-13,845000,830000
2020-04-14,845000,830000
2020-04-15,855000,835000
2020-04-16,850000,830000
2020-04-17,850000,830000
2020-04-18,850000,830000
2020-04-19,850000,830000
2020-04-20,850000,830000
2020-04-21,850000,830000
2020-04-22,850000,830000
2020-04-23,850000,830000
2020-04-24,850000,830000
2020-04-25,850000,830000
2020-04-26,855000,835000
2020-04-27,855000,835000
2020-04-28,855000,835000
2020-04-29,855000,835000
2020-04-30,855000,835000
2020-05-01,855000,835000
2020-05-02,855000,835000
2020-05-03,815000,795000
2020-05-04,815000,795000
2020-05-05,825000,805000
2020-05-06,820000,800000
2020-05-07,820000,800000
2020-05-08,820000,800000
2020-05-09,820000,800000
2020-05-10,820000,800000
2020-05-11,820000,800000
2020-05-12,822000,802000
2020-05-13,822000,802000
2020-05-14,822000,802000
2020-05-15,828000,808000
2020-05-16,835000,815000
2020-05-17,835000,815000
2020-05-18,835000,815000
2020-05-19,845000,825000
2020-05-20,845000,825000
2020-05-21,835000,815000
2020-05-22,835000,815000
2020-05-23,835000,815000
2020-05-24,835000,815000
2020-05-25,835000,815000
2020-05-26,835000,815000
2020-05-27,835000,815000
2020-05-28,835000,815000
2020-05-29,820000,800000
2020-05-30,820000,800000
2020-05-31,820000,800000
2020-06-01,820000,800000
2020-06-02,820000,800000
2020-06-03,822000,802000
2020-06-04,810000,790000
2020-06-05,810000,790000
2020-06-06,810000,790000
2020-06-07,810000,790000
2020-06-08,810000,790000
2020-06-09,778000,758000
2020-06-10,778000,758000
2020-06-11,798000,778000
2020-06-12,798000,778000
2020-06-13,803000,783000
2020-06-14,803000,783000
2020-06-15,803000,783000
2020-06-16,803000,783000
2020-06-17,798000,778000
2020-06-18,798000,778000
2020-06-19,799000,779000
2020-06-20,799000,779000
2020-06-21,808000,788000
2020-06-22,808000,788000
2020-06-23,809000,789000
2020-06-24,810000,790000
2020-06-25,814000,794000
2020-06-26,815000,795000
2020-06-27,817000,797000
2020-06-28,817000,797000
2020-06-29,817000,797000
2020-06-30,829000,809000
2020-07-01,829000,809000
2020-07-02,829000,809000
